Key,Id,Chinese (Simplified)(zh-Hans),English(en)
"id_hostGame",54642089984,"创建房间","HOST A GAME"
"id_joinGameAsPlay",764163137536,"加入房间游玩","JOIN A GAME AS PLAYER"
"id_joinGameAsSpec",798896168960,"加入房间观战","JOIN A GAME AS SPECTATOR"
"id_exit",916101799936,"退出游戏","EXIT"
"id_playerName",1381228455141376,"玩家名","PLAYER NAME"
"id_serverName",1382499748683776,"服务器名","SERVER NAME"
"id_joinAGame",1384265550667776,"加入游戏","Joining A Game"
"id_back",1392842575192064,"退出","Back"
"id_serverRegion",1419701698437120,"服务器区域","SERVER REGION"
"id_confirm",1419850558480384,"确认","Confirm"
"id_refresh",1424835287457792,"刷新","Refresh"
"id_settings",4694285906354176,"设置","Settings"
